years_experience,education_level,certifications,salary_lpa
9.38,2,2,22.96
13.46,1,2,23.48
11.64,0,3,20.78
3.38,2,3,14.55
4.5,1,1,13.11
13.1,2,3,23.92
0.08,0,2,4.02
12.32,1,0,19.87
11.96,2,2,21.84
7.02,2,0,19.83
4.55,2,1,17.27
4.18,1,1,12.39
3.82,2,5,14.06
6.68,1,0,15.99
7.57,1,5,18.04
8.3,1,1,17.77
14.93,0,5,21.93
11.89,0,0,19.28
9.33,1,3,20.14
14.83,0,2,19.67
3.23,1,1,12.72
2.4,2,2,11.7
9.19,2,2,21.12
0.66,2,3,9.19
0.54,1,4,9.31
7.72,0,1,15.9
6.99,0,2,17.1
13.76,2,0,22.39
9.44,1,1,21.3
7.71,2,1,19.42
7.45,1,4,18.95
3.71,1,4,15.19
0.18,0,4,6.21
2.89,0,1,8.56
10.38,0,1,17.75
3.01,2,2,15.31
5.54,1,2,14.3
0.06,0,4,4.61
12.45,1,5,24.42
2.32,1,2,9.05
4.01,1,1,12.2
13.2,1,5,21.94
7.65,0,3,15.85
12.71,1,5,22.74
9.6,2,2,22.14
11.13,0,1,18.84
1.37,0,0,5.47
8.12,1,4,20.74
7.62,0,2,18.1
13.07,1,1,21.97
5.42,2,2,16.02
8.97,1,0,19.35
0.89,0,5,7.86
5.81,0,2,14.6
4.85,0,1,14.51
2.25,2,3,12.08
12.25,1,4,22.43
5.69,0,5,14.2
14.68,2,4,24.56
8.85,0,0,18.55
9.08,0,2,19.22
9.57,0,4,18.51
10.15,1,4,23.07
2.26,0,2,9.98
6.6,1,5,17.98
3.59,1,0,12.13
6.04,2,2,19.15
1.45,2,5,10.37
14.52,1,1,22.43
3.23,2,4,15.3
10.08,2,1,21.91
4.51,0,0,13.73
13.11,0,0,19.84
9.93,0,5,19.83
1.97,0,5,8.78
12.68,0,0,21.35
14.17,2,4,23.65
13.56,2,0,23.74
8.55,1,4,19.7
2.18,1,1,11.81
2.89,2,0,14.34
13.92,2,5,22.9
8.28,0,5,20.36
2.71,1,0,11.29
13.26,1,2,20.55
9.62,1,5,21.22
8.55,2,2,19.3
5.64,2,3,18.1
6.16,1,5,16.58
3.59,2,0,13.46
0.57,0,2,5.13
13.14,1,3,22.73
7.02,0,5,18.4
8.21,0,2,19.18
4.83,2,5,16.76
11.27,1,3,21.92
0.38,0,2,3.64
5.58,1,4,16.18
0.46,0,5,8.14
1.84,0,4,7.63
14.51,1,3,23.86
9.87,1,5,21.95
6.42,0,3,15.19
7.86,1,0,19.16
13.09,1,5,22.19
5.16,0,4,15.98
8.85,2,2,19.7
10.26,0,2,17.9
5.33,1,3,16.9
7.79,0,4,17.6
11.48,2,4,22.3
13.64,0,5,21.6
2.27,2,0,10.87
14.0,2,5,24.78
0.08,0,2,5.65
11.29,0,1,20.87
12.16,0,1,18.37
2.05,0,2,9.13
6.28,1,1,18.4
12.23,0,5,21.04
0.21,2,2,9.04
9.43,1,5,19.62
11.9,2,4,25.1
7.7,0,2,17.38
10.89,0,2,21.06
3.4,1,5,14.64
2.98,0,3,12.12
5.45,0,2,12.76
2.69,0,4,11.35
5.19,0,2,12.91
14.22,2,1,22.58
8.6,2,4,20.94
5.1,1,0,15.1
4.07,0,2,12.78
14.28,1,2,23.78
6.67,1,2,15.68
14.71,0,1,19.33
7.73,1,2,18.13
7.82,2,0,20.76
13.45,1,2,22.3
11.14,1,4,21.94
